Designator,Mid X,Mid Y,Rotation,Layer
C1,139.7,-75.44,270.0,top
C10,171.93,-71.755,0.0,top
C2,138.43,-92.23,90.0,top
C3,134.14,-96.52,180.0,top
C4,137.95,-98.425,180.0,top
C5,152.4,-96.52,0.0,top
C6,146.685,-90.2325,90.0,top
C7,121.315,-90.805,0.0,top
C8,168.43,-71.755,180.0,top
C9,118.465,-90.805,180.0,top
IC1,146.685,-99.72,270.0,top
Q1,116.84,-66.04,180.0,top
Q2,116.905,-72.39,180.0,top
Q3,116.84,-78.74,180.0,top
R1,140.335,-80.645,270.0,top
R10,141.605,-75.44,90.0,top
R11,121.285,-102.11,90.0,top
R12,136.525,-92.2,270.0,top
R13,116.84,-84.965,270.0,top
R14,118.11,-83.945,270.0,top
R15,172.085,-79.375,90.0,top
R16,170.305,-80.645,0.0,top
R17,110.49,-91.44,0.0,top
R18,171.93,-85.09,180.0,top
R19,110.49,-88.9,0.0,top
R2,140.335,-83.185,270.0,top
R20,171.93,-82.55,180.0,top
R3,157.48,-96.52,180.0,top
R4,121.285,-64.01,90.0,top
R5,121.285,-70.485,90.0,top
R6,121.285,-76.835,90.0,top
R7,151.765,-75.69,270.0,top
R8,151.765,-78.23,270.0,top
R9,139.7,-72.9,90.0,top
SW1,155.575,-104.43,180.0,top
U1,116.63,-102.87,180.0,top
U2,137.48,-95.3825,270.0,top
U4,120.005,-87.45,180.0,top
U5,170.36,-75.85,0.0,top
